ext_tot,agr_tot,con_tot,neg_tot,ope_tot,health_tot,work_tot,gpa,age,gender
2.9166666666666665,3.1666666666666665,3.25,3,3.0833333333333335,3.5384615384615383,4.588235294117647,4,18,Woman
3.4166666666666665,3.5833333333333335,3,2.1666666666666665,4.416666666666667,3.230769230769231,3.1176470588235294,4,19,Woman
2.3333333333333335,3,3.1666666666666665,3.4166666666666665,3.5,4.115384615384615,2.8823529411764706,3.4,19,Woman
NA,NA,NA,NA,NA,4,2.9411764705882355,2.2,18,Woman
NA,NA,NA,NA,NA,3.3461538461538463,3.6470588235294117,NA,18,Woman
NA,NA,NA,NA,NA,3.8076923076923075,4.470588235294118,3.1,23,Man
3.25,3.75,3,3,2.5833333333333335,3.730769230769231,4.0588235294117645,3.7,18,Woman
NA,NA,NA,NA,NA,2.769230769230769,2.764705882352941,3.4,20,Woman
3.1666666666666665,3.5,3,3.25,3.4166666666666665,2.730769230769231,3.3529411764705883,3.3,19,Nobinary or genderqueer
NA,NA,NA,NA,NA,3.6923076923076925,3.4705882352941178,3.7,23,Woman
2.3333333333333335,4.333333333333333,4.75,3.5,3.1666666666666665,3.730769230769231,4.176470588235294,3.13,19,Woman
NA,NA,NA,NA,NA,2.6153846153846154,2.0588235294117645,3.5,18,Woman
NA,NA,NA,NA,NA,3.6538461538461537,3.764705882352941,3.7,18,Woman
NA,NA,NA,NA,NA,3.1923076923076925,2.823529411764706,3.9,21,Woman
4.083333333333333,NA,4.416666666666667,2.5,3.4166666666666665,3.5,4.529411764705882,3.93,19,Woman
3.1666666666666665,3.1666666666666665,2.8333333333333335,3.9166666666666665,5,NA,3.2941176470588234,3,31,Woman
NA,NA,NA,NA,NA,3.423076923076923,3.411764705882353,3.26,18,Woman
4,4.166666666666667,3.9166666666666665,3,3.6666666666666665,3.4615384615384617,3.5294117647058822,3.6,19,Woman
NA,NA,NA,NA,NA,3,2.2941176470588234,3.7,18,Woman
NA,NA,NA,NA,NA,3.3461538461538463,2.3529411764705883,3.7,35,Woman
NA,NA,NA,NA,NA,3.8461538461538463,4.588235294117647,3.1,19,Nobinary or genderqueer
NA,NA,NA,NA,NA,3.3846153846153846,2.8823529411764706,3.62,18,Woman
NA,NA,NA,NA,NA,3.5,3.588235294117647,3.8,18,Woman
3.6666666666666665,3.6666666666666665,3.9166666666666665,3.5,4.5,4.230769230769231,4.0588235294117645,3.4,19,Woman
4.5,4.75,5,1.25,4.166666666666667,4.384615384615385,4.294117647058823,3.3,18,Woman
NA,2.75,3,3.75,3.5833333333333335,2.730769230769231,NA,3.93,19,Woman
3.8333333333333335,4.083333333333333,2.8333333333333335,3.75,4.083333333333333,4.269230769230769,3.6470588235294117,3.9,19,Man
1.8333333333333333,2.8333333333333335,3.5,3.25,4.5,2.3846153846153846,2.5294117647058822,2.4,18,Woman
NA,NA,NA,NA,NA,3.5,3.176470588235294,3.1,22,Man
NA,NA,NA,NA,NA,4.038461538461538,4.176470588235294,4,36,Man
NA,NA,NA,NA,NA,3.4615384615384617,3.0588235294117645,3.68,19,Man
2.5,3.1666666666666665,3.0833333333333335,3.1666666666666665,2.8333333333333335,3.1923076923076925,3.176470588235294,4,35,Man
2.5833333333333335,3.25,3.0833333333333335,3.4166666666666665,4.083333333333333,3.269230769230769,3.3529411764705883,3.91,29,Woman
NA,NA,NA,NA,NA,3.423076923076923,3.588235294117647,3.5,29,Man
NA,NA,NA,NA,NA,3.6538461538461537,3.2941176470588234,3.8,22,Woman
NA,NA,NA,NA,NA,3.3076923076923075,3.3529411764705883,4,20,Woman
NA,NA,NA,NA,NA,3.0384615384615383,3.764705882352941,4.1,35,Man
3,2.8333333333333335,3,4,3.1666666666666665,3.230769230769231,4.235294117647059,5,21,Woman
NA,NA,NA,NA,NA,3.6153846153846154,3.4705882352941178,3.8,56,Man
NA,NA,NA,NA,NA,3.923076923076923,4.352941176470588,3.4,40,Man
NA,NA,NA,NA,NA,3.923076923076923,3.6470588235294117,3,25,Man
NA,NA,NA,NA,NA,4.153846153846154,2.823529411764706,4,35,Man
